sentiment	Text
3	i am talking on the phone!!!!!! to paul!!!
4	thanks  i love the word CRIKEY it's like my sayin'
3	Entering twitter 'lurk' mode, time to lock the keyboard, just poured me a whiskey
2	I'm now totally addicted to Farm Town. Frankly, it's more fun that fixing laptops or studying the diseases that will kill us all.
1	.... So I always get left out
2	trying to fix my internet connection...guess my 'prayers' have been answered and i wont have any study distractions  ugh
9	Dang it! I REALLY look like crap!! Sigh only had 35mins to shower and 10mins to get ready
2	mattress armada needs to play a show soon or i'm going to be seriously sad
4	im following because of @conorclancy  yaaaaaay conor!
2	Epsilon Greater than Zero misses her Mommy.  
2	Doesn't feel well and Derek won't get me any medicine
4	- lmao, it's true
10	... same to you!
2	pleeease reply !
2	My whole immediate will be in the same city until some point tomorrow afternoon. This is monumental
1	I think I'm about to break my own heart. (as emo as that sounds)... meh.
7	just watching hollyoaks omg
8	Working at home  Wifi not reaching the garden
2	Geez sorry to hear Steph, I hope things improve soon. I know that ain't much sorry
3	uup  morning, off to school. see ya xxx
10	Oh, and now Mondays also mean new American Dad!  So glad I watched that show, so funny, and it makes Mondays even better
2	hope u feel better sweetie
3	I just saw Nick's friend Jose D Fish GH3. Damn. Well, on to Star Wars  I'll probably be going to a MLB game if I get good seats
4	Im sending this to my mother!  
6	Dying to get my hands on the Diagnosis Murder DVD boxset but those pesky kids at Amazon still won't deliver to Zimbabwe
7	professional development is my favorite way to spend a beautiful monday afternoon....NOT!
8	today i salute all mothers and honour the feminine....and now its time for a beer
2	Hmm... the new sports catalog and card jitsu updates are not appearing for me
7	is very excited! jonas tickets are on sale 2morrow
3	It's not much better than instant.
3	lol  emmett wont do a dance off again
1	Ahhh I'm engulfed in shooooes. Who told me to buy so maany damn shoes
2	rblpnBro @dhair Not quite where I need to be here ... sad but true. Soon however all will be WELL  6wks ? 
2	thanks  i have to finish schoolwork today, no rehearsal tonight though. what ru doing?
2	Waiting on laundry to finish so I can go HOME. Think I'll do my nails while I wait
3	and dont tell burnsy - but no comparison between the rocky mountains and mountains in enlgland
2	@andrewconnell I'm starting to feel depressed with this hurricane talk... I'm on the front lines down here!
1	Darn, I had one and it slipped right through my fingers
3	symphonic I
10	writing a song
2	I've done nothing today apart from moan,whinge,moan
2	Every part of my body aches   I'm tryin' so hard not to throw up
3	I do feel bad for him too. Especially na ngayon pa siya nagrerehab siya and all. Wrong timing. Still, maybe he had it coming
4	Oh my gosh, so cute!!!
3	take a medicine
1	oh hun, i'm sorry... out of everything you've been through, the last thing you deserve is to be unhappy at home..
2	youre not supposed to...
2	my car is in at the garage &amp; is not coming out anytime soon! last time I heard the gearbox was the problem, still waiting for the quote.
9	never invite
8	wats up in your world x) i just won a basketball game  best shooter on the team  idk if shooter existes lol but you understand haha
1	I kinda wish I went with you now!.. I can't fall asleep
2	watching matilda with a bowl of noodles
10	It would still involve me standing up. lol. Windows are too high up. Guess im just gonna have to go out
10	We do! Its been to long! I think i have next weekend open. When are you going to have the house warming party
10	took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.
10	i finally found the perfect matte lcd cleaner!! i-nix screen cleaner ftw!
2	is sad his wife is in Florida while he's sick in Lexington...
3	oh ok i always wondered how that worked. i only have the top of my ear done. i dont think i could get anything else pierced
8	M.I.A?PJ?Beasties?Thievery?Volta?Bat4Lashes?BandOfHorses? I enjoy this line-up:  Too bad it's in San Fran
6	schoool time. not doing much this week.  about 20 more days of school and it's time for NYC!  can't wait for the last day of school.
10	IT'S MOTHER'S DAY
8	No profile pic or bio, few or no updates, lots of following and no followers! Zap! Pow! Block! Annoying but strangely satisfying!
2	we're gonna miss you. dont worry, there will be more for sure!
6	I'm getting back into @taylorswift13 again
10	omg yes!!!!!!! but I have to get ready for work early tonight  I have payroll distribution duty
10	Um... happy star wars day btw. Cheers to all you scruffy looking nerfherders and hot ami's out there.
10	About to present my project.
2	We're home now
2	and I have a gentleman's agreement: Whoever wins the first match (or is it best of three?) pays for the other person's copy.
2	Never made it to the gym so will be doing my blowout sans thong wearing company. Phew! But bummer on missing workout
3	wassup with u this morning.
4	So drunk!  Love u guys!
2	i was going tonight, but you never wrote me back with the info  im sososo sad...
10	Nothing like home-made paranthas for breakfast
2	My Denny's shut down in the winter.  I have to do 50 miles to get to one now.
6	I have a headache...
4	happy birthday
4	Um i have the cutest girlfriend in the world&lt;33.. Kthanks
7	Oooh! goodluck for the rest of them
4	oh greg  i want to hug you.
2	sorry @platea friends - I'm swamped with deadlines right now and we have family visiting to boot! No charades for me.
8	You know, you can read almost all your Tweets as some sort of disgusting euphamism.  It's quite fun
1	Missing Everyone
10	Chatted with my old schoolmates. Awww  I miss my Highschool.
10	is celebrating her 21st birthday
3	Oh tonight... Looking forward to it
7	thanks.... just awesome
2	I don't want to  !!!! I am going to cry all the way home!!!
2	is scanning the pics all over again ..
3	deck building buddy missing in action
10	 days until I start moving!
7	Notion video deleted.
2	Quiet day at work 2day.Just had dinner. Whats doin out there?
1	I'm up. getting ready for skill. can't wait to fail my bio final yay! ugh, honor classes suckkkk.  ):
2	everybody is sick
1	Off to take a math quiz...on a friday....booo
2	Ah....okay
11	One hour and fifteen minutes.  A dreadful wait.
3	red top tabloids, build em up, knock em down
2	is on allegra, flonase and a steroid inhaler for the rest of the allergy season. throat still hurts from the asthma
10	FC is back dear.
2	hehehe pui foto? Ai ascultat top-ul ? a stat Bogdan la &quot;butoane&quot; este in training
2	although you wear sunglasses i can see how uncomfortable you felt. poor sam.
2	Stupid bipolar weather ruined my day off
6	haha. I completely agree
1	omg i tink he is not cuming bckkk
4	another song that  makes me cry and cry all day  and night long.
2	I shudder at the thought of what she was thinking she'd do with it if she'd managed to reclaim it...
7	oh about you lol sorry my minds always on you
3	I'm still waiting for Separate Ways...
1	Sitting in an almost empty dorm, waiting for jordan to come to take some last things and say good bye. He graduates tomorrow.
10	hahaha thanks for clearing up the
2	he's ok dw but i think he's not  
2	gosh... summer vacation is almost over here at the philippines.. kinda sad..  i wonder what section will i be in?
1	I have to go to work.
3	watching the notebook
10	Proud 2 B a trekkie . The new Star Trek movie RUUULLZZZ
8	'Look at the tadpole'... 'No! ... Look at me!!!' ... Foolish dog  
1	No 'rosie day' today  goal is to leav my house b4 my mom gets here hmmm maybe 'rosie day' rescheduled for....wed......
10	Good morning World   This will be another wonderfull day, starting with breakfst with champions...  my kids ofcourse
1	Has been a long day - Matinee and evening show. Will be sad tomorrow: last ever Welsh College show
7	yes i do, how can I not?
1	 miles away
6	Always a good idea.
3	Hi fellow Peruvian
10	THANK YYYYYYYYYOOOOOOOOOOUUUUU!
7	I woulda never believed that five years later I'd be a female engineer myself making tracks
2	Or maybe its just us ....
4	yay thanku! *hugs*
2	sowwy. Lover you
4	Thanks Elaine. I'm clipping reviews for her scrapbook.
1	Sorry to hear that man  He is were the bullshit cant reach him now. My heart goes out to you and your family.
3	on way to work
11	Last Chemistry lesson for this school year!  On a brighter note, my birthday will be sandwiched between two days in chemistry lab!
1	I think it's less of a tribute and more of a parody.
4	Naps are so lovely
3	deep fried mars bars! Nice..me like  awake cant sleep..chocolate overload!
2	gawd the rain is too strong
10	- Oh it's so beautiful! I'm happy you had a great time! Heartz
1	You mustv'e read my mind. I WAS going, but now it's thunderstorming AND I have to pick up the boys from the bus stop
4	awwww  thanks for follwin me thou. lol
3	I'm at work
3	i want a dog or a cat or something  i want something to unconditonally love, thats not materialistic or a family memeber
3	got one because of my babygirl
10	goodnight to all
10	nice one
10	spring show was super fun!
4	- Lexus has the Twitpic! Happy mother's day to you Lexus.  I hopw it's a nice one for you.
3	better go and put my clothes on guys.. even if P.J's are warm and moveable
1	it's pretty cold outside  today i got another exam...
8	thats why im such an a-hole
4	Morning there.
8	No you are not having my favorite drink without me  lol
4	Tonight, will be a good night  &lt;3
3	too kind Jim too kind brother
3	ok sweet! and whenever u want, I am stuck in bed all weekend
1	Maybe if we pass a lay making the #swineflu illegal, law abiding citizens won't get it
3	Hang in there. I can be there in about three more hours.
4	Just printed my mom an Amazon gift card  for Happy Mothers Day talk about last minute.
3	Back on track with the transcription process. Still can't stop my lappy overheating, though
1	It's 12:30AM, @buonotomato stopped tweeting, my brain's not functioning. I wanna cry. Haha. Philippines tour, please?  Love ya!
3	!!!!  glad you're alright!
1	I doubt it! Boo! You always leave me behind on your awesome roadtrips!
3	- I always appreciate your &quot;musings.&quot;
3	Guess what happened to my butt yesterday? Yes - Annas finger came for a visit... and I said nothing about it.
2	I think I might have to break down and purchase some from the US just because I donot know what to call it over here
2	in about two hours I'm setting out on a 600-mile drive home. Mostly I'm hoping it goes quickly.
3	LOL! No trialing...for the most part Florida trials come to a screeching halt over the summer.  Have fun this weekend!
4	Spoofcards cost money  I need to make my 5 free minutes last! Thanks buddy
1	Cant find my red lighter that reminds me of Amy
2	shit i got a shit of hw to do 2nite
7	Dammit i just locked the keys in the car! had to call mama whos in laughlin to call AAA for me
4	great day? Woman, did you NOTICE the smile that never disappeared off my face? Ha, Murray... All cos of you, I owe you
3	Nope  Neither of our ladies are on today.
6	Hey, is the #beatweetup badge required for tonight? Just realized I left mine at home!
3	browsing nd watching barca win da champs league
3	I am so full.. And I haven't even eaten my meal yet
2	why did I get airbrushed nude, if soon as i put my dress on it messed it up a little...eerrrr
3	Oh why do I keep stumbling about deathfic WITHOUT WARNINGS. do not want
2	Will we be able to see clips/episodes on the C4 website from America?  Or will I languish reading the news stories again?
4	like the sound of a tweet
2	Where did everyone go?? boo got no-one to twitter on to now  Wonder if I can con some innocent un-suspecting people into talking to me??
7	Almost time to say Good Bye to my twimulations. I'll miss my tweeps
1	i miss you
10	peter!! follow me!! oh and have fun in europe!
3	Its 11:11...make a wish!
2	enchiladas weren't as good as I thought they would be     now I know why I don't eat mexican
1	would love to talk to you but i live in England so unfair
1	Is youtube not working properly for anyone else? I can't watch videos because they keep failing to load
6	haha i just realised it sounded a lot like stellllaaa lol. anyhoo i got ur facebook msg and will start working soon hopefully
1	Sorry about that. I got behind on followers and am still catching up.  I follow folks that @ me (including you
10	mum's day - ended up being happy  not that it's my day or anything....
7	Summer Glau to appear in Dollhouse next year  I still can't believe they won't renew TSCC
2	Laura elle s'en fou elle don't like the french fans
3	@siriuslyheather They follow me
10	HAPPY MOTHERS DAY TO ALL THE MOMMYS EXSPECIALLY MINE  LOVE YOU MOMMY
1	JoBo's tired of getting off work at 7
2	OMG  I BROKE DOWN AND HAD PIZZA BECAUSE I WAS STRESSED OUT  @Thefatboys @theunclelouie @princemarkiedee you mad at me?
7	I am horrible at appraising peer work. What are these Americans thinking when they compose poems? Or maybe I am the one with the problem.
7	wondering what on earth is this new tools for
3	Well that was a fun evening
3	Europe bound
3	I've worked my finger tips bare today coding. But we got there.
10	I have new slippers! They are piggys! So so cute and very warm
1	NW Macedonia: Few rainy days in a row.
2	going to bed its late and I have headache
3	You might have too. One of them accused you guys to being &quot;One Sided&quot; on the issue. They're getting way, way out of hand.
3	Aww man I left all my laffy taffy's at work
2	turning laptop of. i'm scared  poor baby.
2	I hate the fact that I'm 4.5 hours away from you tonight and tomorrow we'll be 1946 miles apart  I wish you were here (
3	I'm not impressed that it almost always rains on Bank Holidays !! Stil... It's a free day - no college
7	I got so much gray hair all of a sudden.  I just ordered me some Garnier Roasted Coffee from drugstore.com, well see how that goes.
4	my mate megan is the best thing since sliced bread. i loveeee her
2	havin fun my friend?
2	not sure i can make it
2	Happy Mother's Day to all the beautiful Moms out there.  (I'm kind of a Mom, i think my little pup counts!  )
1	there's something about this area that makes my tonsils swell up everyday. i don't get it..  i feel slightly miserable. #FF done 4 now!!
3	no im not  cries LOL
10	happy star wars day
2	I was expecting the sun to come out today. I guess that's not happening.
1	 long and painful miles today.  knees ache.  approaching 50 years is rough. not accepting it well.  3 glasses of draft helped.
4	Yah! Feeling better and had a beaut day - Sophie razzing it at the skateboard park (at all of 3 yrs) and Charli happy at school
2	take my advice lookin through the phone cost me my relationship
3	chillin in Durban. playing with a new puppy. she has no name yet. but she's not for me  present for my uncle
6	Back in lancaster bored already, can't wait to start work! Missing hel!
2	I wish you weren't going to a 19+ venue in Vancouver
10	thanks for the message! been a fan since forever; actually met you back in '03. So glad I stumbled upon your twitter
11	The gigantic initial inertial to get oneself to work after a deadline
3	peanut :o, cute name  lol get another turtle and call it jelly :p, if i get a pet i'll call it cabbage XD lolol
2	that's what it is in mathematica. I just meant that I automatically hit the button twice now.
2	Back to Tokyo tomorrow. Expecting some rain and no sunshine
1	I am so jealous. I want a free hamburger
3	ok ! can you text me so I have your number..i didnt have any saved to sim
3	Anyone know what to do when your pc keeps restarting itself?
2	Im feeling sad, not likeing my new haircut
8	still awake.. will get some sleep i have to drive to Fortuna early.. Red Bull will guide me
7	wishes he can just call her.  blah. it used to be so easy to move on. wtf happened?
10	lol @ kalahari.net marketing - &quot;may the 4th be with you&quot;
10	one of my favorite, most relaxing songs to wake up to:  Good morning.
3	- Found at a garage sale for $1.50
10	Well it would seem that you can enter nine 0s if you are an Individual without a SSN/ITIN or EIN according to Apple.  Hurray!
1	and he's not even fat!!!! Huh, @freyalynn? He's just friggin huge!  I have a freak.
7	Dlukasrossi Lukas- your amazing wife, her updates are locked! Hard to convince people to follow protected profiles,
4	Thanks,I think your the first girl to say that...besides my mom
9	Got tired of the kitchen being uninhabital so swept and mopped the floor when its dry I'll do the work tops
3	*points at Facebook message*
3	Hi Erin I had a dm to send you but u r not following me so Twitted prevents me from doing so
2	My tummy hurts
1	The Aspitar Hospital in Doha is amazing. Great service, nice building and free WiFi. Win
3	poker face
10	very well, nothing flash - but different to chocolate 4 a change. good 2 meet U yesterday  gr8 atmosphere &amp; discussion
3	Ok im good again . Headed home i look like a wet dog
1	missed out on westcott micro apollo too
2	So sorry to hear about the kiddo!  Hope she feels lots better now that the cast is on
2	Justin is SO warm! It makes me worry when they have a high fever and I go to sleep.
2	Here's almost 1 AM and I'm staying with my open window...otherwise I'd suffocate myself.  It's way too warm! Ah ~ I so much miss rains !
4	Haha, AWESOME! And, clearly, only Trinity is awesome enough to have access to it!
2	is bored at school and my throat it swollen
8	Walking to work on a gloriously sunny day. Going to be a good weekend in which I will burn as always even with suncream on  #fb
7	Eli in the ER  they pricked his finger for blood sugar and he was trying not to cry 
10	I'm up wit cha!! Just got home from da reggae club, wishin I was sexin somebody!!!
10	How I Met Your Mother? Best show ever
10	Well, I'm here, good morning/brunch-ish I took my exam, think I did good
10	Thanks - that works a treat  Need to post that xml really though - thinking about how to emulate rails' ActiveResource
9	Sorry. Not unemployed.
3	tom delonge?
2	I didn't get my q'doba today! sad
1	hey tom, i'm happy that you're enjoying brazil, but i'm sad cuz i'm not goin to see you in your show
2	moving today.... sad day
10	Agfest? it was pretty awesome.. loads of people were there lol
10	Damn just spent a week whole of pay on shopping  oh well i'm happy!!!
2	went to bestbuy today and found that they had pretty much ever HP except the one i wanted to look at
2	Thanks sankar for ur wishes
11	he has to have a new suitcase, but he is just so bloody indecicive, everytime he wants to buy something it takes HOURS
3	might go to bed? No nightmares about bad grades tonight please!  Hmm!
3	downloading apps for my iphone
6	needs to stop taking photos with other people's cameras!  luckily, photos have been delivered
8	is excited!  
3	Screw it I'm going shopping. I'll be back by like 3 anyway and then I'll do hard core revision
2	OCHH ive got blister on my foot over the sun today its soo sore  i supose yas dnt care hah just thaught i tweet it anyways
1	&lt;&lt; i miss music like this
4	 degrees and a crappy a/c
3	I wanna see Drag Me To Hell  Someone take meee!  Oh and Follow me.  And Subscribe: 
3	I'M A JUMP OFF A BRIDGE... NOT REALLY, BUT I WANT TO VOTE  TELL THEM TO FIX IT, JUST 2 MORE DAYS YOU NEED TO WIN
10	Vancouver, so classy.  #canucks
2	wasnt it supposed to have been in for yesterday?
2	Soon I hope... Really need to finish the cloning project so I can get more done
3	Bring me food before you go please.
2	Can't wait, you &amp; Katie always end up with some of the best interviews..
10	I'm so pleased with myself. I actually managed to run the whole 4km mothers day classic without stopping
3	cut it off.
2	pleaase dont start dating her, that would suck, then disney kids would listen to ftsk. thanks
3	there it is. postieeee  
6	Hey!    Good AM to you too!
10	Dinner with Ali tonight celebrating her first day at the new job, will be near Trader Joe's, might just have to stop in
10	how is Aussie...im hopin to be there in Sydney in less than a week just got my VISA on thursday whoot whoot
2	ROFL  Even if I kept insurance and payments under $300, Im still like.. meh. Good thing I applied for a day job pasy $2888mo
3	Awww boo. Maybe i wont be sober during 3s team at evo. I need to snag someone to be my partner
1	Kill me now I'm so sick    n it's Friday night!!
4	Time for me to seek out some coffee for my own caffein love affair too!! Mmmmm... Sweet been of hyper-goodness!!
3	Two day hangover
6	u mean VIP this time ? coz of the KBS thingy ? haha..
2	getting there sat afternoon I think. No costume yet  womp wompppppp
4	Is off to get some dinner
9	It's fully of grabbyhands and bad candy, thanks! &lt;3 How's you?
1	i'm using paint.net x64 and it's running crazily fast - can't afford CS4 unfortunately... yet
10	- I picked out a watch !! Yey
2	Well let's be blessed together then too! Yes, I feel better, but I would be sick again though if my little was spared.
4	Oh p.s. Thank you so much for the flowers Mr.Akins your mamacita loves yoooou papa  Kevin is the best muuaah!
2	back from dinner w. my family. i'm not meeting christine anymore  sunny weather tomorrow and a day out &amp; about. i want red bull!
4	Happy Mothers Day all!  Hugs and love, Zoe
3	? ? ?????????????  = ?????? ?????? ?????? ?? ????
3	Gen. Casey: US Ready To Fight War Against North Korea   uh,oh, the war pigs are getting excited again
1	Hey guys I'm back from work.. It was kinda horrible
10	watching beauty &amp; the beast  haha
8	Heading off to Poole around 4ish, @LucyKD has some serious gardening to do before we go, no Tweetdeck til Sunday evening,
8	had an eventful weekend and nice week off, looking forward to a final chill out day
7	boston needs one too
1	It's too hot!! Thermometer showing 25c at the moment
1	weekend, bought Lost Odyssey, YAY  ------- however, my 360 RROD'ed on me  it's the second time
9	Hey! Polka dots or black dress. Both very glam. Mobile twitter's a bit crap at the mo.
7	boy don't try to front i-i know just-just what you are-are-are
4	aahhg....i only have 1 orange slice left ! do i eat it now ? or later ? this is quite a pickle im in  *sxyhrlygrl*
5	DUDE.  You're a hax0r!!!1!  You should put Final Cut Pro on there and tell me how stable it is
2	where are you going tonight?!
10	Ha, sure  hey, text me normal. 512 718 4879
1	Brother #3 is wandering around the house in his underwear. As charming for his 2 sisters as it is for the other female guests, I'm sure
2	Pulp Fiction in King William Street.
4	aw. nick got his heart broken.  poor baby. i love you!
4	@missneecie Happy Mother's Day to both of yall.  from me and my boys...
10	Get on a plane! Come drink my Cristal with me
1	yuppp. I was gonna get it up top but I didn't. I will soon, but I got 2nd holes instead
4	Anyone knows a site like the Swedish site &quot;sl.se&quot; or the great useful &quot;www.tfl.gov.uk&quot;, but for Liverpool?
4	glad u liked post  looking at the back end now...the sub 2 your blog is automatic. send url and i'll verify.
2	Back from a wonderful vacation. Had perfect weather and now back to the rainy 'burgh and reality.
2	fml. i stepped on a needle.. ouch.. waaaaa  damn drycleaners
7	Watching Battlestar Galactica Season 1...Yeah you read it right!
8	Sounds good to me!  Taylor + Kellie on tour together is just pure genious!
3	yes france/belgium was good  carnt belive how much traffic we hit on the way back
3	It's 4pm Friday, he left at 6am Thursday.... surely he should be there now
10	good morning
3	You be a good girl Whitney
2	went to the doctors for a physical (including blood work -_-) and the eye doctors for new glasses.
8	When I check google analytics I can always get to google.com/anal before Safari's auto-fill kicks in. Makes me laugh
7	I'm not sure... But, 4719 fans in just a week is a wow to me! I guess they will soon overtake other Malaysian Page to be No.1.
1	is tanning with emily! too bad its prob gonna rain
2	I guess she's not the type of songwriter who dreams the great ones.
9	damn, for reals? wtf
9	EVIL CREDIT CARD COMPANIES!!  God, and just when I was starting to *build* my credit again - I get this stupid 'ding' from them!
4	I just got twitter for my palm  &lt;3
3	just going to cook some lamb chops for lunch - I always end up coking just before pay day and amaze myself at how much I can cook
10	yay  my 'only on sundays' maid came!! the house will be clean again!!!
9	I'm still at work
3	- I know the feeling... Good morning mate!
10	Eating a dillybar from DQ! Yuuum
3	Watching wizard of waverly place
7	What? I was being serious.
3	gahh!! i'm so tired right now.
2	just scared for you! youre so young! @chemicalbullets im okay  what you doing?
1	Ughh none of my apps are working !  phone why do you hate me !
7	today is maintenance day for me, my flat and my blog...yeahhhh a lot of little works
10	I have an interview on tuesday so things are turning around I think!! yay! so dont worry!  And Japsicans are a rare breed. ;)
3	my grandpa called, wants to know what you are doing with his hat.. and when you plan to return it
10	hahaha niene ur soo smart.! lmao i think that is who its by..  good lookin.. whts up gurlie?? i come home this weekend.!
10	I wonder who that thomasvanvliet is. Maybe you can help me, because I've just inherited $20000000! Can't withdraw it
2	My ancient iPod is nearing death
2	What am I doing? I'm sitting here wondering why I am twittering  Is anyone really listening??
10	that's a lot of mangoes.. haha  baka naglilihi ka ahh?? haha  joke lang carmen
2	No.  I was thinking just before how much I miss my T-Dub.
2	after we pissed you off
1	I hate being young
6	baby i need you , right here , right now
3	i have poop on my shirt and a insanely cracked screen on my iphone. daaaang.
10	the plan was to take a nap (yea I'm still feeling last night) then go watch lakers game smwhere fun. looking like no nap
10	Thanks for the heads up, Ethan. Watching it now
3	lady is clean now, im going to calexico in a moment, i have so much things to do today, and i wanna go and watch the hanna montana movie
3	Going into liverpool soon
2	I do!!!!!.... I'm single and it sucks!!
10	was fun meeting u today! thanks for all the doodles on the goodies i got! hope u have a super time in TO &amp; visit again soon!
3	at Office ready to work and waiting for Windows 7 Candidate Release - 5 May, 2009
2	I guess this is soul searching time for me since I'm home alone &amp; no one's talking to me
4	Loves random acts of kindness and laughter
9	Power Outage, door to freezer propped open, 3G ice cream make for slippy floor  M-er F-er!!
2	My girl needs a hug! She lost here cell phone
2	is not sleeping because he has paperwork to do.
3	sometimes spam leaks in to the message board.
1	Sorry address was wrong. where I put samuel in the address, it should be just sam. I am having a stupid brain day today.
7	where r all the 5am tweets from @oakleafchurch people...oh that's right...they opened the #houseofrock last night so they're still in bed
6	OMG so exctied
3	is chilling at home
8	Doing make up for the school musical this week aaah
2	*sigh* another two out fly out for Papi
4	my darling dd says &quot;my mum is my best friend&quot;... and she told me to tell you all she said that in here too  so I did! love ya moo (jd too)
3	thankyou sugaaar  btw I'll leave this town on 7, really hope could see you next time ya ra. Skrg sempit bgt sih waktunya ya
3	someone came in when I was sleeping off my national passtime and turned me human
4	Finished dexter season2    start on season 3 next week?
3	Okay. Are you still out? If not, how was dinner?
3	none at the moment. i used to root for adam, but there are some issues with his &quot;Feeling Good&quot; version with Muse fans like moi
1	ive tried and tried in the past to learn cockney but sadly its near impossible to find books and things on it over here.
3	you're welcome, on the road today so will save those games til next week... Cant wait
10	good night! im off to sleeep!!!! 5 am  good mornining! xD
3	is my son - he gets my vote today coz he has grown into a loving, caring 'soul-full' man - who loves his mum
4	hubby is snoring!  but I still love him
2	No way. What about Sydney?  yeah, you guys are like the semi-older version of Short Stack. However, with the same talent.
3	Ppl dont miss out on me on this Follow Superstar Sunday
8	thank you alot
3	- we are one hott couple  eventho this was a few yrs ago but we still r
8	I beat you to the punch!  #stickam
3	@robertmills Looks like I'm on tea duty all day.
10	N now the end to another wise great nite! Excuse me while I dream a little dream
3	great photoshoot today with Chris Ryan of Rolling Stone, Keegan Smith &amp; the Fam may be opening for DAVE MATTHEW's BAND THIS SUMMER!  EEK!
9	Yukky  Rainy Friday
9	**i hate my hair hiss tee, I feel like I shuld hang out in the ghetto wid dis style
4	Because I love my job
8	lmao i get that alot  haha
8	Jeff &amp; I are looking for long lasting love! Just not with each other we both like Men
1	i guess that means you didn't beta-read either of my stories, huh?
7	morning  how are you?
10	Is listening to P!nk tunage and trying to teach my cat to dance to it... I think she's getting it we can be backing dancers by next tour
